Year,Artist,Album,Song,Co-written with
1994,E-Type,Made in Sweden,"""Me No Want Miseria""","Martin Eriksson, Herbie Crichlow"
1995,3T,Brotherhood,"""It's Gotta Be You""","Dag Volle, Herbie Crichlow"
1995,Herbie,Fingers,"""Big Funky Dealer""","Dag Volle, Herbie Crichlow"
1995,Herbie,Fingers,"""Change""","Dag Volle, Herbie Crichlow"
1995,Herbie,Fingers,"""Come Together""",Herbie Crichlow
1995,Herbie,Fingers,"""Gangs to the Max""","Dag Volle, Herbie Crichlow"
1995,Herbie,Fingers,"""Rainbow Child""","Dag Volle, Herbie Crichlow"
1995,Herbie,Fingers,"""Right Type of Mood""",Herbie Crichlow
1995,Leila K,Manic Panic,"""Electric""","Dag Volle, Herbie Crichlow, Laila El Khalifi, Chris Barbosa, Ed Chisholm"
1995,Discovery,Non-album single,"""Straight Up Funk""","Dag Volle, Herbie Crichlow"
1996,Backstreet Boys,Backstreet Boys,"""I Wanna Be with You""",Dag Volle
1996,Backstreet Boys,Backstreet Boys,"""Quit Playing Games (with My Heart)""",Herbie Crichlow
1996,Backstreet Boys,Backstreet Boys,"""Nobody But You""","Dag Volle, Herbie Crichlow"
1996,Backstreet Boys,Backstreet Boys,"""We've Got It Goin' On""","Dag Volle, Herbie Crichlow"
1996,George,All the Way[1],"""Up 'n Down""","Dag Volle, George Shahin, Marco Rakascan"
1996,George,All the Way[1],"""The Things You Do""","George Shahin, Herbie Crichlow"
1996,Leila K,Manic Panic,"""Blacklisted""","Dag Volle, David Wahlgren"
1996,Leila K,Manic Panic,"""C'Mon Now""","Dag Volle, Herbie Crichlow, Gene Simmons, Vincent Cusano"
1996,Leila K,Manic Panic,"""Rude Boy""","Dag Volle, Herbie Crichlow, Laila El Khalifi, David Wahlgren"
1997,Backstreet Boys,Backstreet's Back,"""Everybody (Backstreet's Back)""",Dag Volle
1997,Backstreet Boys,Backstreet's Back,"""As Long as You Love Me""",
1997,Backstreet Boys,Backstreet's Back,"""That's the Way I Like It""","Dag Volle, Herbie Crichlow"
1997,Backstreet Boys,Backstreet's Back,"""10,000 Promises""",
1997,DeDe,I Do,"""Get to You""","Per Magnusson, David Kreuger, Kristian Lundin"
1997,DeDe,I Do,"""My Lover""","Per Magnusson, David Kreuger, DeDe Lopez"
1997,Robyn,Robyn Is Here,"""Do You Know (What It Takes)""","Robin Carlsson, Dag Volle, Herbie Crichlow"
1997,Robyn,Robyn Is Here,"""Show Me Love""",Robin Carlsson
1997,Solid HarmoniE,Solid HarmoniE,"""I'll Be There for You""",Kristian Lundin
1997,Solid HarmoniE,Solid HarmoniE,"""I Wanna Love You""",Kristian Lundin
1997,Solid HarmoniE,Solid HarmoniE,"""I Want You to Want Me""",Jacob Schulze
1997,Solid HarmoniE,Solid HarmoniE,"""To Love Once Again""",Kristian Lundin
1998,5ive,5ive,"""It's the Things You Do""","George Shahin, Herbie Crichlow"
1998,5ive,5ive,"""Slam Dunk (Da Funk)""","Dag Volle, Jacob Schulze, Herbie Crichlow"
1998,5ive,5ive,"""Until the Time Is Through""",Andreas Carlsson
1998,5ive,5ive,"""Don't You Want It""","Dag Volle, Richard Breen, Jason Brown, Sean Conlon, Ritchie Neville, Scott Robinson"
1998,Bryan Adams,On a Day Like Today,"""Before the Night Is Over""",Bryan Adams
1998,Bryan Adams,On a Day Like Today,"""Cloud Number Nine""","Bryan Adams, Gretchen Peters"
1998,Gary Barlow,Open Road,"""Superhero""/""For All That You Want""","Kristian Lundin, Gary Barlow"
1998,Jessica Folcker,Jessica,"""A Little Bit Longer""",Dag Volle
